"","voted_for","gender","education"
"40870","Biden","Male","4-year"
"40871","Biden","Male","4-year"
"40872","Trump","Female","4-year"
"40873","Biden","Male","4-year"
"40874","Trump","Male","Post-grad"
"40875","Biden","Male","Post-grad"
"40876","Trump","Male","Post-grad"
"40877","Biden","Male","4-year"
"40878","Trump","Male","2-year"
"40879","Trump","Male","4-year"
"40880","Biden","Male","2-year"
"40881","Biden","Male","4-year"
"40882","Biden","Male","4-year"
"40883","Trump","Male","Post-grad"
"40884","Biden","Male","Post-grad"
"40885","Biden","Male","Post-grad"
"40886","Biden","Male","Post-grad"
"40887","Biden","Male","Post-grad"
"40888","Biden","Male","Post-grad"
"40889","Biden","Female","High school graduate"
"40890","Biden","Male","Post-grad"
"40891","Trump","Male","Post-grad"
"40892","Trump","Male","4-year"
"40893","Biden","Female","High school graduate"
"40894","Biden","Male","Post-grad"
"40895","Trump","Male","4-year"
"40896","Trump","Male","4-year"
"40897","Biden","Male","4-year"
"40898","Biden","Male","Post-grad"
"40899","Biden","Male","Post-grad"
"40900","Biden","Male","Some college"
"40901","Trump","Male","Post-grad"
"40902","Trump","Male","4-year"
"40903","Trump","Male","Post-grad"
"40904","Biden","Male","Post-grad"
"40905","Biden","Male","Post-grad"
"40906","Trump","Male","Some college"
"40907","Biden","Male","Some college"
"40908","Biden","Male","Post-grad"
"40909","Biden","Male","Post-grad"
"40910","Biden","Male","Post-grad"
"40911","Trump","Male","Post-grad"
"40912","Trump","Male","2-year"
"40913","Biden","Male","4-year"
"40914","Biden","Male","4-year"
"40915","Biden","Male","4-year"
"40916","Trump","Male","4-year"
"40917","Biden","Male","Post-grad"
"40918","Biden","Male","Post-grad"
"40919","Biden","Female","High school graduate"
"40920","Biden","Male","Post-grad"
"40921","Trump","Male","2-year"
"40922","Trump","Male","2-year"
"40923","Trump","Male","Post-grad"
"40924","Trump","Male","4-year"
"40925","Trump","Male","Post-grad"
"40926","Trump","Male","Post-grad"
"40927","Biden","Male","Post-grad"
"40928","Trump","Male","Some college"
"40929","Trump","Male","4-year"
"40930","Biden","Male","4-year"
"40931","Biden","Male","4-year"
"40932","Biden","Male","4-year"
"40933","Trump","Male","Some college"
"40934","Biden","Male","Post-grad"
"40935","Biden","Male","Post-grad"
"40936","Biden","Male","Post-grad"
"40937","Biden","Male","Post-grad"
"40938","Biden","Male","4-year"
"40939","Biden","Male","4-year"
"40940","Trump","Male","Post-grad"
"40941","Trump","Male","Post-grad"
"40942","Trump","Male","Post-grad"
"40943","Trump","Male","4-year"
"40944","Biden","Male","2-year"
"40945","Trump","Male","Post-grad"
"40946","Biden","Male","Some college"
"40947","Biden","Male","Post-grad"
"40948","Biden","Male","4-year"
"40949","Trump","Male","4-year"
"40950","Trump","Male","Post-grad"
"40951","Biden","Male","Post-grad"
"40952","Trump","Male","4-year"
"40953","Biden","Male","Post-grad"
"40954","Trump","Male","4-year"
"40955","Biden","Male","4-year"
"40956","Trump","Male","4-year"
"40957","Trump","Male","Some college"
"40958","Biden","Male","4-year"
"40959","Trump","Male","Some college"
"40960","Trump","Male","Post-grad"
"40961","Biden","Male","Post-grad"
"40962","Trump","Male","Post-grad"
"40963","Trump","Male","4-year"
"40964","Biden","Male","Post-grad"
"40965","Trump","Male","2-year"
"40966","Biden","Male","Post-grad"
"40967","Biden","Female","4-year"
"40968","Biden","Male","4-year"
"40969","Biden","Male","Some college"
"40970","Trump","Male","High school graduate"
"40971","Biden","Male","Post-grad"
"40972","Biden","Male","Post-grad"
"40973","Trump","Male","Post-grad"
"40974","Biden","Male","Post-grad"
"40975","Biden","Male","4-year"
"40976","Trump","Male","4-year"
"40977","Biden","Female","4-year"
"40978","Trump","Male","Post-grad"
"40979","Biden","Male","Post-grad"
"40980","Biden","Male","4-year"
"40981","Trump","Male","Post-grad"
"40982","Trump","Male","4-year"
"40983","Biden","Male","4-year"
"40984","Biden","Male","High school graduate"
"40985","Trump","Male","Some college"
"40986","Trump","Male","Some college"
"40987","Biden","Male","4-year"
"40988","Trump","Male","Some college"
"40989","Trump","Male","4-year"
"40990","Trump","Male","Post-grad"
"40991","Trump","Female","High school graduate"
"40992","Biden","Male","Post-grad"
"40993","Biden","Male","Some college"
"40994","Trump","Male","4-year"
"40995","Trump","Male","Post-grad"
"40996","Trump","Male","Post-grad"
"40997","Trump","Male","4-year"
"40998","Trump","Male","High school graduate"
"40999","Trump","Male","2-year"
"41000","Trump","Male","Post-grad"
"41001","Biden","Male","Post-grad"
"41002","Trump","Male","4-year"
"41003","Biden","Male","4-year"
"41004","Trump","Male","Some college"
"41005","Biden","Male","4-year"
"41006","Biden","Male","Post-grad"
"41007","Biden","Male","Post-grad"
"41008","Trump","Male","Post-grad"
"41009","Trump","Female","High school graduate"
"41010","Trump","Male","4-year"
"41011","Biden","Male","Post-grad"
"41012","Trump","Male","Post-grad"
"41013","Trump","Male","Some college"
"41014","Trump","Male","4-year"
"41015","Biden","Male","4-year"
"41016","Trump","Male","4-year"
"41017","Biden","Male","2-year"
"41018","Trump","Male","Post-grad"
"41019","Biden","Male","Post-grad"
"41020","Biden","Male","Post-grad"
"41021","Biden","Male","Post-grad"
"41022","Trump","Male","Some college"
"41023","Trump","Male","Post-grad"
"41024","Biden","Male","Post-grad"
"41025","Biden","Male","Post-grad"
"41026","Biden","Male","2-year"
"41027","Biden","Male","Some college"
"41028","Trump","Male","Some college"
"41029","Trump","Male","4-year"
"41030","Trump","Male","4-year"
"41031","Biden","Male","Some college"
"41032","Trump","Male","4-year"
"41033","Biden","Male","2-year"
"41034","Biden","Male","Post-grad"
"41035","Trump","Male","Some college"
"41036","Biden","Male","Post-grad"
"41037","Trump","Male","Post-grad"
"41038","Trump","Male","4-year"
"41039","Trump","Male","4-year"
"41040","Trump","Female","High school graduate"
"41041","Trump","Male","Post-grad"
"41042","Trump","Male","Some college"
"41043","Biden","Male","2-year"
"41044","Biden","Female","Some college"
"41045","Trump","Male","4-year"
"41046","Trump","Male","Some college"
"41047","Trump","Male","4-year"
"41048","Biden","Male","4-year"
"41049","Trump","Male","Post-grad"
"41050","Trump","Male","2-year"
"41051","Biden","Male","4-year"
"41052","Trump","Male","4-year"
"41053","Trump","Male","4-year"
"41054","Biden","Male","4-year"
"41055","Trump","Male","4-year"
"41056","Biden","Male","Post-grad"
"41057","Biden","Male","Post-grad"
"41058","Trump","Male","Post-grad"
"41059","Trump","Male","2-year"
"41060","Trump","Male","Post-grad"
"41061","Trump","Male","Post-grad"
"41062","Trump","Male","Post-grad"
"41063","Trump","Male","4-year"
"41064","Biden","Male","Post-grad"
"41065","Trump","Male","Some college"
"41066","Biden","Male","Post-grad"
"41067","Biden","Male","Post-grad"
"41068","Biden","Male","4-year"
"41069","Biden","Male","Post-grad"
"41070","Trump","Male","4-year"
"41071","Biden","Male","4-year"
"41072","Biden","Female","High school graduate"
"41073","Trump","Male","4-year"
"41074","Biden","Male","Post-grad"
"41075","Trump","Male","2-year"
"41076","Biden","Male","Post-grad"
"41077","Trump","Male","4-year"
"41078","Trump","Male","Post-grad"
"41079","Biden","Male","Post-grad"
"41080","Biden","Male","High school graduate"
"41081","Trump","Male","Some college"
"41082","Biden","Male","4-year"
"41083","Biden","Male","Post-grad"
"41084","Biden","Male","Post-grad"
"41085","Trump","Male","Post-grad"
"41086","Biden","Female","Some college"
"41087","Biden","Female","Some college"
"41088","Trump","Male","Post-grad"
"41089","Biden","Male","Some college"
"41090","Biden","Male","Post-grad"
"41091","Biden","Male","Post-grad"
"41092","Biden","Male","4-year"
"41093","Trump","Male","4-year"
"41094","Trump","Male","Post-grad"
"41095","Trump","Male","Post-grad"
"41096","Biden","Male","4-year"
"41097","Biden","Male","Post-grad"
"41098","Biden","Male","Post-grad"
"41099","Trump","Male","Post-grad"
"41100","Trump","Male","4-year"
"41101","Trump","Male","4-year"
"41102","Biden","Male","Post-grad"
"41103","Biden","Male","Post-grad"
"41104","Biden","Male","4-year"
"41105","Biden","Male","4-year"
"41106","Biden","Male","4-year"
"41107","Trump","Male","Some college"
"41108","Biden","Male","4-year"
"41109","Trump","Male","Some college"
"41110","Biden","Male","Post-grad"
"41111","Biden","Male","Post-grad"
"41112","Biden","Male","4-year"
"41113","Biden","Male","4-year"
"41114","Trump","Male","Post-grad"
"41115","Biden","Male","4-year"
"41116","Trump","Male","Post-grad"
"41117","Biden","Male","Post-grad"
"41118","Biden","Male","4-year"
"41119","Trump","Male","4-year"
"41120","Biden","Male","4-year"
"41121","Biden","Male","4-year"
"41122","Trump","Male","4-year"
"41123","Trump","Male","Post-grad"
"41124","Biden","Male","Post-grad"
"41125","Trump","Male","4-year"
"41126","Trump","Male","Some college"
"41127","Trump","Male","4-year"
"41128","Biden","Male","Post-grad"
"41129","Biden","Male","Post-grad"
"41130","Biden","Male","Post-grad"
"41131","Biden","Male","Some college"
"41132","Biden","Male","Post-grad"
"41133","Trump","Male","Some college"
"41134","Trump","Male","4-year"
"41135","Trump","Male","Some college"
"41136","Biden","Male","Post-grad"
"41137","Trump","Male","4-year"
"41138","Trump","Male","Post-grad"
"41139","Biden","Male","Post-grad"
"41140","Trump","Male","4-year"
"41141","Trump","Male","4-year"
"41142","Biden","Male","4-year"
"41143","Trump","Male","Post-grad"
"41144","Biden","Male","Post-grad"
"41145","Trump","Male","Some college"
"41146","Trump","Male","Post-grad"
"41147","Trump","Male","4-year"
"41148","Biden","Male","Some college"
"41149","Trump","Male","4-year"
"41150","Trump","Male","4-year"
"41151","Biden","Male","4-year"
"41152","Trump","Male","4-year"
"41153","Trump","Male","4-year"
"41154","Biden","Female","Post-grad"
"41155","Biden","Male","Post-grad"
"41156","Trump","Male","4-year"
"41157","Trump","Male","4-year"
"41158","Trump","Male","4-year"
"41159","Trump","Male","4-year"
"41160","Trump","Male","2-year"
"41161","Trump","Male","Post-grad"
"41162","Biden","Male","Post-grad"
"41163","Trump","Male","Post-grad"
"41164","Trump","Female","High school graduate"
"41165","Biden","Male","Some college"
"41166","Trump","Male","4-year"
"41167","Biden","Male","Post-grad"
"41168","Trump","Male","Some college"
"41169","Biden","Male","Some college"
"41170","Trump","Male","4-year"
"41171","Biden","Male","Some college"
"41172","Biden","Male","4-year"
"41173","Biden","Male","Post-grad"
"41174","Trump","Male","4-year"
"41175","Biden","Male","Post-grad"
"41176","Trump","Male","4-year"
"41177","Trump","Female","High school graduate"
"41178","Biden","Male","4-year"
"41179","Biden","Male","Post-grad"
"41180","Biden","Male","Post-grad"
"41181","Trump","Male","Post-grad"
"41182","Biden","Male","Post-grad"
"41183","Biden","Male","4-year"
"41184","Trump","Male","Post-grad"
"41185","Biden","Male","Post-grad"
"41186","Biden","Male","4-year"
"41187","Biden","Male","Post-grad"
"41188","Biden","Male","4-year"
"41189","Biden","Male","Post-grad"
"41190","Trump","Male","2-year"
"41191","Trump","Male","Post-grad"
"41192","Biden","Male","Post-grad"
"41193","Trump","Male","Some college"
"41194","Trump","Male","4-year"
"41195","Trump","Male","Post-grad"
"41196","Trump","Male","Post-grad"
"41197","Biden","Male","Post-grad"
"41198","Biden","Male","Post-grad"
"41199","Trump","Male","2-year"
"41200","Biden","Male","2-year"
"41201","Biden","Male","4-year"
"41202","Biden","Male","4-year"
"41203","Trump","Male","4-year"
"41204","Trump","Male","Some college"
"41205","Biden","Male","Post-grad"
"41206","Biden","Male","Post-grad"
"41207","Trump","Male","4-year"
"41208","Trump","Male","4-year"
"41209","Trump","Male","4-year"
"41210","Trump","Male","Post-grad"
"41211","Trump","Male","4-year"
"41212","Trump","Male","4-year"
"41213","Biden","Male","Some college"
"41214","Trump","Male","Some college"
"41215","Biden","Male","4-year"
"41216","Biden","Male","Post-grad"
"41217","Trump","Male","4-year"
"41218","Trump","Male","Post-grad"
"41219","Biden","Male","Post-grad"
"41220","Trump","Male","Post-grad"
"41221","Biden","Male","4-year"
"41222","Trump","Male","4-year"
"41223","Biden","Male","Some college"
"41224","Biden","Male","Post-grad"
"41225","Biden","Male","4-year"
"41226","Biden","Male","Post-grad"
"41227","Trump","Male","Post-grad"
"41228","Biden","Male","Post-grad"
"41229","Biden","Male","Post-grad"
"41230","Trump","Male","Post-grad"
"41231","Biden","Male","Post-grad"
"41232","Biden","Male","4-year"
"41233","Biden","Male","Post-grad"
"41234","Biden","Male","Some college"
"41235","Trump","Male","Some college"
"41236","Biden","Male","Post-grad"
"41237","Trump","Male","Post-grad"
"41238","Trump","Male","4-year"
"41239","Biden","Male","2-year"
"41240","Biden","Male","4-year"
"41241","Biden","Male","Post-grad"
"41242","Biden","Male","Post-grad"
"41243","Biden","Male","Some college"
"41244","Trump","Male","Post-grad"
"41245","Biden","Male","Some college"
"41246","Biden","Male","4-year"
"41247","Biden","Male","4-year"
"41248","Biden","Female","2-year"
"41249","Trump","Male","4-year"
"41250","Biden","Male","Post-grad"
"41251","Trump","Male","Post-grad"
"41252","Trump","Male","4-year"
"41253","Trump","Male","2-year"
"41254","Trump","Male","Post-grad"
"41255","Trump","Male","4-year"
"41256","Trump","Male","2-year"
"41257","Trump","Male","High school graduate"
"41258","Trump","Male","Post-grad"
"41259","Biden","Male","Post-grad"
"41260","Trump","Male","Post-grad"
"41261","Biden","Male","Post-grad"
"41262","Trump","Male","2-year"
"41263","Biden","Male","Post-grad"
"41264","Biden","Male","Post-grad"
"41265","Biden","Male","Post-grad"
"41266","Biden","Male","Some college"
"41267","Biden","Male","Some college"
"41268","Biden","Male","Post-grad"
"41269","Biden","Male","4-year"
"41270","Biden","Female","Some college"
"41271","Trump","Female","High school graduate"
"41272","Biden","Male","Post-grad"
"41273","Biden","Male","4-year"
"41274","Biden","Male","4-year"
"41275","Biden","Male","4-year"
"41276","Trump","Male","4-year"
"41277","Biden","Male","4-year"
"41278","Trump","Male","Some college"
"41279","Trump","Male","4-year"
"41280","Trump","Male","Post-grad"
"41281","Biden","Male","Post-grad"
"41282","Trump","Male","2-year"
"41283","Trump","Male","Post-grad"
"41284","Trump","Male","Some college"
"41285","Biden","Male","Some college"
"41286","Trump","Male","4-year"
"41287","Trump","Male","2-year"
"41288","Trump","Male","4-year"
"41289","Biden","Male","Post-grad"
"41290","Biden","Male","Some college"
"41291","Trump","Male","Post-grad"
"41292","Biden","Male","4-year"
"41293","Trump","Male","4-year"
"41294","Trump","Female","High school graduate"
"41295","Biden","Male","Post-grad"
"41296","Trump","Male","Post-grad"
"41297","Trump","Male","Post-grad"
"41298","Trump","Male","2-year"
"41299","Trump","Male","2-year"
"41300","Biden","Male","Post-grad"
"41301","Trump","Male","Post-grad"
"41302","Biden","Male","4-year"
"41303","Trump","Male","Post-grad"
"41304","Biden","Male","Post-grad"
"41305","Biden","Male","4-year"
"41306","Trump","Male","4-year"
"41307","Biden","Male","Post-grad"
"41308","Biden","Male","Post-grad"
"41309","Trump","Male","4-year"
"41310","Biden","Male","Post-grad"
"41311","Trump","Male","4-year"
"41312","Trump","Male","2-year"
"41313","Biden","Male","4-year"
"41314","Biden","Male","Post-grad"
"41315","Trump","Male","Post-grad"
"41316","Biden","Male","4-year"
"41317","Trump","Male","4-year"
"41318","Trump","Male","Post-grad"
"41319","Trump","Male","Post-grad"
"41320","Biden","Male","4-year"
"41321","Trump","Male","2-year"
"41322","Trump","Male","Some college"
"41323","Trump","Male","4-year"
"41324","Trump","Male","Post-grad"
"41325","Trump","Male","Post-grad"
"41326","Trump","Male","Post-grad"
"41327","Trump","Male","4-year"
"41328","Biden","Male","4-year"
"41329","Trump","Male","Post-grad"
"41330","Biden","Male","2-year"
"41331","Trump","Male","Some college"
"41332","Trump","Male","Some college"
"41333","Biden","Male","Post-grad"
"41334","Trump","Male","Post-grad"
"41335","Trump","Male","4-year"
"41336","Biden","Male","4-year"
"41337","Biden","Male","Post-grad"
"41338","Biden","Female","2-year"
"41339","Trump","Male","4-year"
"41340","Trump","Male","4-year"
"41341","Trump","Male","Post-grad"
"41342","Biden","Female","Some college"
"41343","Trump","Male","Post-grad"
"41344","Trump","Male","4-year"
"41345","Trump","Male","4-year"
"41346","Biden","Male","4-year"
"41347","Biden","Male","4-year"
"41348","Biden","Female","4-year"
"41349","Biden","Male","4-year"
"41350","Biden","Male","4-year"
"41351","Trump","Male","4-year"
"41352","Trump","Male","4-year"
"41353","Biden","Male","4-year"
"41354","Trump","Male","Post-grad"
"41355","Biden","Male","2-year"
"41356","Biden","Male","4-year"
"41357","Biden","Male","2-year"
"41358","Biden","Male","Post-grad"
"41359","Biden","Male","Post-grad"
"41360","Trump","Male","Post-grad"
"41361","Biden","Male","4-year"
"41362","Biden","Male","Post-grad"
"41363","Biden","Male","Post-grad"
"41364","Trump","Male","Post-grad"
"41365","Biden","Male","4-year"
"41366","Trump","Male","4-year"
"41367","Biden","Male","Post-grad"
"41368","Biden","Male","2-year"
"41369","Biden","Male","Post-grad"
"41370","Biden","Male","Some college"
"41371","Trump","Male","4-year"
"41372","Biden","Male","Some college"
"41373","Trump","Male","4-year"
"41374","Biden","Male","Some college"
"41375","Biden","Male","4-year"
"41376","Biden","Male","Post-grad"
"41377","Biden","Male","4-year"
"41378","Biden","Male","Post-grad"
"41379","Biden","Male","Post-grad"
"41380","Trump","Male","4-year"
"41381","Biden","Male","Post-grad"
"41382","Trump","Male","4-year"
"41383","Biden","Male","Post-grad"
"41384","Trump","Male","Some college"
"41385","Trump","Male","Some college"
"41386","Trump","Male","Post-grad"
"41387","Biden","Male","4-year"
"41388","Biden","Male","4-year"
"41389","Biden","Male","4-year"
"41390","Trump","Male","4-year"
"41391","Trump","Male","Some college"
"41392","Trump","Male","2-year"
"41393","Biden","Male","2-year"
"41394","Biden","Male","4-year"
"41395","Trump","Male","4-year"
"41396","Trump","Male","2-year"
"41397","Biden","Male","4-year"
"41398","Trump","Male","Post-grad"
"41399","Biden","Male","Post-grad"
"41400","Biden","Male","Post-grad"
"41401","Biden","Male","Some college"
"41402","Trump","Male","4-year"
"41403","Biden","Male","4-year"
"41404","Biden","Male","4-year"
"41405","Trump","Male","4-year"
"41406","Biden","Male","4-year"
"41407","Trump","Male","2-year"
"41408","Trump","Male","4-year"
"41409","Trump","Male","Some college"
"41410","Trump","Male","4-year"
"41411","Biden","Male","Post-grad"
"41412","Biden","Male","Post-grad"
"41413","Biden","Female","High school graduate"
"41414","Biden","Male","Post-grad"
"41415","Biden","Male","Post-grad"
"41416","Biden","Male","Post-grad"
"41417","Biden","Male","4-year"
"41418","Biden","Male","Post-grad"
"41419","Trump","Male","Some college"
"41420","Biden","Male","Some college"
"41421","Biden","Male","2-year"
"41422","Trump","Male","Some college"
"41423","Biden","Male","Post-grad"
"41424","Trump","Male","Post-grad"
"41425","Trump","Male","Post-grad"
"41426","Biden","Male","Some college"
"41427","Trump","Male","4-year"
"41428","Trump","Male","4-year"
"41429","Trump","Male","4-year"
"41430","Biden","Male","Post-grad"
"41431","Biden","Male","4-year"
"41432","Trump","Male","Post-grad"
"41433","Trump","Male","2-year"
"41434","Trump","Male","4-year"
"41435","Biden","Male","Post-grad"
"41436","Biden","Male","Post-grad"
"41437","Trump","Male","Post-grad"
"41438","Biden","Male","4-year"
"41439","Biden","Male","Post-grad"
"41440","Biden","Male","4-year"
"41441","Biden","Male","Post-grad"
"41442","Trump","Male","2-year"
"41443","Biden","Male","4-year"
"41444","Biden","Male","Some college"
"41445","Biden","Male","Post-grad"
"41446","Trump","Male","4-year"
"41447","Biden","Male","4-year"
"41448","Trump","Male","Post-grad"
"41449","Biden","Male","Post-grad"
"41450","Biden","Female","4-year"
"41451","Biden","Male","4-year"
"41452","Trump","Male","4-year"
"41453","Trump","Male","4-year"
"41454","Biden","Male","2-year"
"41455","Trump","Male","Post-grad"
"41456","Trump","Male","Post-grad"
"41457","Biden","Male","Some college"
"41458","Trump","Male","Post-grad"
"41459","Biden","Male","Post-grad"
"41460","Biden","Male","Some college"
"41461","Biden","Male","4-year"
"41462","Trump","Male","Post-grad"
"41463","Biden","Male","Post-grad"
"41464","Biden","Male","2-year"
"41465","Biden","Male","4-year"
"41466","Trump","Male","4-year"
"41467","Trump","Male","4-year"
"41468","Biden","Male","4-year"
"41469","Trump","Male","4-year"
"41470","Trump","Male","Some college"
"41471","Biden","Male","Some college"
"41472","Trump","Male","Some college"
"41473","Biden","Male","Post-grad"
"41474","Trump","Male","Post-grad"
"41475","Trump","Male","Post-grad"
"41476","Biden","Male","Post-grad"
"41477","Biden","Male","4-year"
"41478","Biden","Male","Post-grad"
"41479","Trump","Male","Some college"
"41480","Trump","Male","4-year"
"41481","Biden","Male","4-year"
"41482","Biden","Male","Post-grad"
"41483","Trump","Male","2-year"
"41484","Biden","Male","4-year"
"41485","Biden","Male","2-year"
"41486","Trump","Male","4-year"
"41487","Trump","Male","Some college"
"41488","Trump","Male","Some college"
"41489","Biden","Male","Some college"
"41490","Biden","Male","4-year"
"41491","Trump","Male","Some college"
"41492","Biden","Male","4-year"
"41493","Biden","Male","4-year"
"41494","Trump","Male","4-year"
"41495","Trump","Male","Post-grad"
"41496","Trump","Male","4-year"
"41497","Biden","Female","High school graduate"
"41498","Biden","Male","Post-grad"
"41499","Biden","Male","Post-grad"
"41500","Biden","Male","Post-grad"
"41501","Trump","Male","4-year"
"41502","Biden","Male","2-year"
"41503","Trump","Male","Post-grad"
"41504","Biden","Male","4-year"
"41505","Biden","Male","Some college"
"41506","Biden","Male","Post-grad"
"41507","Biden","Male","Post-grad"
"41508","Trump","Male","Post-grad"
"41509","Biden","Male","Some college"
"41510","Trump","Male","Post-grad"
"41511","Biden","Male","Post-grad"
"41512","Biden","Male","Post-grad"
"41513","Trump","Male","4-year"
"41514","Biden","Male","4-year"
"41515","Biden","Male","Post-grad"
"41516","Biden","Male","Post-grad"
"41517","Trump","Male","Post-grad"
"41518","Trump","Male","Post-grad"
"41519","Biden","Male","4-year"
"41520","Trump","Male","Some college"
"41521","Trump","Male","Some college"
"41522","Trump","Male","Some college"
"41523","Trump","Male","4-year"
"41524","Trump","Male","Post-grad"
"41525","Trump","Male","4-year"
"41526","Biden","Male","Post-grad"
"41527","Biden","Male","Post-grad"
"41528","Trump","Male","4-year"
"41529","Trump","Male","Post-grad"
"41530","Trump","Male","Post-grad"
"41531","Biden","Male","Post-grad"
"41532","Biden","Male","Some college"
"41533","Biden","Male","Post-grad"
"41534","Trump","Male","Post-grad"
"41535","Biden","Male","2-year"
"41536","Biden","Male","Some college"
"41537","Biden","Male","Post-grad"
"41538","Biden","Male","Post-grad"
"41539","Trump","Male","Post-grad"
"41540","Trump","Male","Some college"
"41541","Biden","Male","Post-grad"
"41542","Biden","Male","Post-grad"
"41543","Trump","Male","Post-grad"
"41544","Biden","Male","4-year"
"41545","Biden","Male","Post-grad"
"41546","Trump","Male","2-year"
"41547","Biden","Male","Post-grad"
"41548","Trump","Male","4-year"
"41549","Biden","Male","4-year"
"41550","Biden","Male","Some college"
"41551","Trump","Male","Some college"
"41552","Trump","Male","Post-grad"
"41553","Trump","Male","Post-grad"
"41554","Biden","Male","Post-grad"
"41555","Biden","Male","4-year"
"41556","Trump","Male","Post-grad"
"41557","Trump","Male","Some college"
"41558","Trump","Male","4-year"
"41559","Biden","Male","4-year"
"41560","Biden","Male","Post-grad"
"41561","Biden","Male","Post-grad"
"41562","Trump","Male","Post-grad"
"41563","Trump","Male","High school graduate"
"41564","Biden","Male","4-year"
"41565","Biden","Male","Post-grad"
"41566","Biden","Male","4-year"
"41567","Trump","Male","4-year"
"41568","Trump","Male","Some college"
"41569","Trump","Male","Post-grad"
"41570","Trump","Male","Post-grad"
"41571","Biden","Male","Post-grad"
"41572","Trump","Male","Some college"
"41573","Trump","Male","4-year"
"41574","Biden","Male","2-year"
"41575","Biden","Male","4-year"
"41576","Biden","Male","Post-grad"
"41577","Biden","Male","Post-grad"
"41578","Trump","Male","Some college"
"41579","Trump","Male","4-year"
"41580","Trump","Male","Some college"
"41581","Biden","Male","Post-grad"
"41582","Trump","Male","4-year"
"41583","Biden","Male","2-year"
"41584","Biden","Male","4-year"
"41585","Trump","Male","Post-grad"
"41586","Trump","Male","Post-grad"
"41587","Biden","Male","Some college"
"41588","Trump","Male","4-year"
"41589","Trump","Male","4-year"
"41590","Biden","Male","Post-grad"
"41591","Biden","Male","4-year"
"41592","Biden","Female","4-year"
"41593","Biden","Male","Post-grad"
"41594","Biden","Male","Post-grad"
"41595","Trump","Male","4-year"
"41596","Trump","Male","Post-grad"
"41597","Trump","Male","Post-grad"
"41598","Trump","Male","Post-grad"
"41599","Biden","Male","4-year"
"41600","Trump","Male","4-year"
"41601","Biden","Male","4-year"
"41602","Biden","Male","4-year"
"41603","Biden","Male","Post-grad"
"41604","Biden","Male","Some college"
"41605","Biden","Male","4-year"
"41606","Trump","Male","4-year"
"41607","Trump","Male","Some college"
"41608","Trump","Male","Post-grad"
"41609","Trump","Male","4-year"
"41610","Biden","Male","Post-grad"
"41611","Trump","Male","4-year"
"41612","Biden","Male","4-year"
"41613","Biden","Male","Post-grad"
"41614","Trump","Male","Post-grad"
"41615","Trump","Male","Post-grad"
"41616","Biden","Male","Some college"
"41617","Biden","Male","Some college"
"41618","Biden","Male","Post-grad"
"41619","Biden","Male","4-year"
"41620","Trump","Male","4-year"
"41621","Biden","Male","2-year"
"41622","Biden","Male","Post-grad"
"41623","Biden","Male","Post-grad"
"41624","Biden","Female","Some college"
"41625","Trump","Male","4-year"
"41626","Biden","Male","4-year"
"41627","Trump","Male","Some college"
"41628","Trump","Male","Some college"
"41629","Biden","Male","4-year"
"41630","Biden","Male","Post-grad"
"41631","Biden","Male","Post-grad"
"41632","Biden","Male","4-year"
"41633","Biden","Male","Post-grad"
"41634","Trump","Male","4-year"
"41635","Biden","Male","Post-grad"
"41636","Trump","Male","4-year"
"41637","Trump","Male","4-year"
"41638","Biden","Male","Post-grad"
"41639","Trump","Male","4-year"
"41640","Biden","Male","4-year"
"41641","Trump","Male","Some college"
"41642","Biden","Male","Post-grad"
"41643","Trump","Male","4-year"
"41644","Biden","Male","Post-grad"
"41645","Trump","Male","4-year"
"41646","Trump","Male","4-year"
"41647","Biden","Male","Post-grad"
"41648","Biden","Male","4-year"
"41649","Biden","Male","4-year"
"41650","Biden","Male","Post-grad"
"41651","Biden","Male","Post-grad"
"41652","Trump","Male","Some college"
"41653","Biden","Male","4-year"
"41654","Trump","Male","4-year"
"41655","Trump","Male","Post-grad"
"41656","Trump","Male","Post-grad"
"41657","Biden","Male","Post-grad"
"41658","Biden","Female","4-year"
"41659","Biden","Male","Post-grad"
"41660","Trump","Male","Post-grad"
"41661","Biden","Male","Post-grad"
"41662","Biden","Male","Post-grad"
"41663","Trump","Male","2-year"
"41664","Trump","Male","4-year"
"41665","Trump","Female","High school graduate"
"41666","Trump","Male","Post-grad"
"41667","Biden","Female","High school graduate"
"41668","Biden","Male","4-year"
"41669","Biden","Male","4-year"
"41670","Biden","Male","4-year"
"41671","Trump","Male","4-year"
"41672","Biden","Male","4-year"
"41673","Biden","Male","4-year"
"41674","Trump","Male","2-year"
"41675","Biden","Male","4-year"
"41676","Trump","Male","Some college"
"41677","Trump","Male","2-year"
"41678","Biden","Male","Post-grad"
"41679","Biden","Male","4-year"
"41680","Biden","Male","Post-grad"
"41681","Trump","Male","4-year"
"41682","Biden","Male","2-year"
"41683","Biden","Male","4-year"
"41684","Trump","Male","2-year"
"41685","Trump","Male","4-year"
"41686","Biden","Male","Post-grad"
"41687","Biden","Male","Post-grad"
"41688","Biden","Male","Some college"
"41689","Biden","Male","4-year"
"41690","Trump","Male","4-year"
"41691","Trump","Male","4-year"
"41692","Biden","Male","Post-grad"
"41693","Trump","Male","Post-grad"
"41694","Biden","Male","Post-grad"
"41695","Trump","Male","4-year"
"41696","Trump","Male","4-year"
"41697","Trump","Male","4-year"
"41698","Trump","Male","4-year"
