"","voted_for","gender","education"
"456","Biden","Male","High school graduate"
"457","Biden","Male","Post-grad"
"458","Biden","Female","Post-grad"
"459","Biden","Female","4-year"
"460","Trump","Male","2-year"
"461","Biden","Female","Post-grad"
"462","Biden","Female","4-year"
"463","Trump","Female","Post-grad"
"464","Biden","Female","Post-grad"
"465","Trump","Female","2-year"
"466","Biden","Female","4-year"
"467","Trump","Male","4-year"
"468","Biden","Male","Some college"
"469","Trump","Male","Some college"
"470","Trump","Male","4-year"
"471","Biden","Male","Some college"
"472","Trump","Male","4-year"
"473","Biden","Female","4-year"
"474","Trump","Male","Post-grad"
"475","Trump","Male","Post-grad"
"476","Trump","Female","Some college"
"477","Biden","Female","4-year"
"478","Biden","Female","4-year"
"479","Trump","Female","2-year"
"480","Biden","Female","Post-grad"
"481","Biden","Female","Some college"
"482","Biden","Female","2-year"
"483","Biden","Male","Post-grad"
"484","Trump","Female","4-year"
"485","Trump","Female","2-year"
"486","Trump","Female","Some college"
"487","Biden","Female","4-year"
"488","Trump","Female","Some college"
"489","Biden","Male","Post-grad"
"490","Biden","Female","4-year"
"491","Biden","Female","Some college"
"492","Trump","Female","2-year"
"493","Biden","Female","Post-grad"
"494","Biden","Male","Post-grad"
"495","Trump","Male","Some college"
"496","Trump","Female","Some college"
"497","Biden","Male","High school graduate"
"498","Trump","Male","4-year"
"499","Trump","Male","Post-grad"
"500","Biden","Female","4-year"
"501","Trump","Female","4-year"
"502","Trump","Male","Post-grad"
"503","Biden","Male","Post-grad"
"504","Biden","Male","Post-grad"
"505","Biden","Male","Post-grad"
"506","Biden","Female","4-year"
"507","Trump","Female","2-year"
"508","Biden","Female","4-year"
"509","Biden","Female","4-year"
"510","Trump","Female","Post-grad"
"511","Biden","Male","Some college"
"512","Biden","Male","Some college"
"513","Biden","Female","Post-grad"
"514","Biden","Male","Some college"
"515","Trump","Male","Some college"
"516","Biden","Male","4-year"
"517","Trump","Male","Post-grad"
"518","Trump","Female","2-year"
"519","Biden","Male","Post-grad"
"520","Biden","Female","4-year"
"521","Biden","Male","Post-grad"
